"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"CM0150","2019-09-16 00:00:00","11.000","350.000","1.300","25.800","0.790","1006.300","-99.000","2.000","-99.000","-99.000","-99.000","30.000","","25.400",""
"C0X080","2019-09-16 00:00:00","2.000","206.000","0.500","26.500","0.890","1006.400","-99.000","3.000","-99.000","-99.000","-99.000","33.100","","25.000",""
"C0A540","2019-09-16 00:00:00","401.000","0.000","0.000","22.500","0.990","963.100","-99.000","10.500","-99.000","-99.000","-99.000","24.600","","21.600",""
"C0H950","2019-09-16 00:00:00","192.000","0.000","0.000","23.900","0.990","986.300","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","23.800",""
"C0O960","2019-09-16 00:00:00","112.000","153.000","1.000","24.500","0.950","994.600","-99.000","0.500","-99.000","-99.000","-99.000","29.900","","24.500",""
"C0AH10","2019-09-16 00:00:00","30.000","166.000","1.600","27.000","0.850","1004.100","-99.000","22.000","-99.000","-99.000","-99.000","28.100","","24.400",""
"C0R680","2019-09-16 00:00:00","13.000","18.000","1.000","26.400","-99.000","1006.100","-99.000","2.000","-99.000","-99.000","-99.000","31.100","","24.900",""
"C0X210","2019-09-16 00:00:00","38.000","163.000","2.100","25.200","0.980","1001.000","-99.000","45.000","-99.000","-99.000","-99.000","31.700","","24.800",""
"C0D430","2019-09-16 00:00:00","87.000","0.000","0.000","23.300","0.940","996.400","-99.000","2.000","-99.000","-99.000","-99.000","29.200","","21.800",""
"C0AD30","2019-09-16 00:00:00","20.000","291.000","0.400","27.000","0.790","1004.500","-99.000","12.000","-99.000","-99.000","-99.000","28.700","","25.300",""
"C0R240","2019-09-16 00:00:00","87.000","23.000","0.500","24.100","0.990","997.100","-99.000","71.000","-99.000","-99.000","-99.000","33.700","","24.000",""
"C0AI30","2019-09-16 00:00:00","26.000","86.000","1.600","27.500","0.830","1006.500","-99.000","13.500","-99.000","-99.000","-99.000","28.700","","24.700",""
"C0U960","2019-09-16 00:00:00","1885.000","355.000","3.000","14.200","0.990","813.300","-99.000","5.500","-99.000","-99.000","-99.000","19.200","","12.500",""
"C0T9E0","2019-09-16 00:00:00","415.000","238.000","1.900","23.300","0.910","962.900","-99.000","0.000","-99.000","-99.000","-99.000","28.700","","22.100",""
